,"
#
","
Coin
","
Price
","
1h
","
24h
","
7d
","
24h Volume
","
Mkt Cap
"
"


","
301
","






DeFi Kingdoms
 
JEWEL
 
JEWEL



","
$4.15
","
-0.4%
","
-7.2%
","
-1.6%
","
$10,483,342
","
$214,405,452
"
"


","
302
","






TomoChain
 
TOMO
 
TOMO



","
$2.50
","
-0.8%
","
-3.5%
","
-3.6%
","
$7,479,873
","
$212,640,515
"
"


","
303
","






Ultra
 
UOS
 
UOS



","
$0.798737
","
0.4%
","
6.7%
","
15.2%
","
$11,197,907
","
$212,191,515
"
"


","
304
","






RSK Infrastructure Framework
 
RIF
 
RIF



","
$0.266863
","
-0.4%
","
-2.0%
","
-1.7%
","
$1,064,126
","
$209,679,985
"
"


","
305
","






Kyber Network Crystal
 
KNC
 
KNC



","
$2.03
","
-1.2%
","
9.5%
","
21.2%
","
$78,505,898
","
$208,446,003
"
"


","
306
","






Dero
 
DERO
 
DERO



","
$19.00
","
0.3%
","
-5.4%
","
9.1%
","
$795,390
","
$208,246,333
"
"


","
307
","






FUNToken
 
FUN
 
FUN



","
$0.019558349370
","
0.0%
","
1.0%
","
-8.2%
","
$13,701,870
","
$207,166,995
"
"


","
308
","






Lido Staked SOL
 
STSOL
 
STSOL



","
$197.68
","
-0.2%
","
1.5%
","
-0.4%
","
$2,317,348
","
$206,820,373
"
"


","
309
","






Polkastarter
 
POLS
 
POLS



","
$2.54
","
-0.0%
","
-6.0%
","
-15.9%
","
$22,188,122
","
$206,129,320
"
"


","
311
","





 
Escoin Token
 
ELG
 
ELG



","
$2.99
","
-0.3%
","
-1.1%
","
5.8%
","
$688,107
","
$204,130,469
"
"


","
310
","






Beldex
 
BDX
 
BDX



","
$0.136164
","
0.4%
","
-1.4%
","
-1.4%
","
$781,885
","
$204,117,069
"
"


","
313
","






ETH 2x Flexible Leverage Index
 
ETH2X-FLI
 
ETH2X-FLI



","
$214.73
","
0.1%
","
-2.7%
","
3.1%
","
$10,044,037
","
$203,955,346
"
"


","
312
","






KeeperDAO
 
ROOK
 
ROOK



","
$297.23
","
0.1%
","
-9.3%
","
15.5%
","
$3,568,909
","
$203,060,962
"
"


","
314
","






cUNI
 
CUNI
 
CUNI



","
$0.498829
","
0.3%
","
-0.7%
","
-7.9%
","
$58,840
","
$202,062,059
"
"


","
315
","






Ankr Reward-Bearing Staked ETH
 
AETHC
 
AETHC



","
$3,851.61
","
0.0%
","
1.0%
","
0.0%
","
$0.000000000000
","
$201,463,274
"
"


","
316
","






Metadium
 
META
 
META



","
$0.122634
","
-1.4%
","
9.1%
","
7.8%
","
$62,356,115
","
$200,856,059
"
"


","
317
","






Polkaswap
 
PSWAP
 
PSWAP



","
$0.055050802592
","
-5.8%
","
-10.0%
","
-11.5%
","
$191,312
","
$200,277,041
"
"


","
318
","






FLEX Coin
 
FLEX
 
FLEX



","
$2.54
","
-0.4%
","
-1.4%
","
-4.1%
","
$210,204,511
","
$199,280,547
"
"


","
319
","






Unizen
 
ZCX
 
ZCX



","
$4.55
","
2.0%
","
-2.3%
","
-18.0%
","
$2,465,903
","
$198,784,565
"
"


","
320
","






c0x
 
CZRX
 
CZRX



","
$0.028405139193
","
","
9.5%
","
36.0%
","
$15,980.62
","
$198,406,231
"
"


","
321
","






Klever
 
KLV
 
KLV



","
$0.036163833882
","
0.3%
","
-4.8%
","
-3.5%
","
$1,960,925
","
$198,349,518
"
"


","
322
","






Anyswap
 
ANY
 
ANY



","
$11.39
","
0.3%
","
-5.6%
","
-0.3%
","
$16,159,912
","
$196,445,924
"
"


","
323
","






Syscoin
 
SYS
 
SYS



","
$0.314820
","
-0.8%
","
-7.0%
","
-17.5%
","
$6,010,497
","
$195,591,612
"
"


","
324
","






Uquid Coin
 
UQC
 
UQC



","
$19.36
","
-0.4%
","
-1.0%
","
-4.8%
","
$4,737,952
","
$193,578,313
"
"


","
325
","






DeFiPulse Index
 
DPI
 
DPI



","
$337.08
","
-0.2%
","
-1.1%
","
-3.4%
","
$2,091,400
","
$191,978,661
"
"


","
326
","






API3
 
API3
 
API3



","
$4.91
","
-0.7%
","
-3.3%
","
-6.3%
","
$6,553,257
","
$190,995,134
"
