,"
#
","
Coin
","
Price
","
1h
","
24h
","
7d
","
24h Volume
","
Mkt Cap
"
"


","
101
","






Mina Protocol
 
MINA
 
MINA



","
$4.37
","
-0.5%
","
-6.0%
","
3.5%
","
$51,189,906
","
$1,219,707,758
"
"


","
102
","






yearn.finance
 
YFI
 
YFI



","
$33,612
","
-0.3%
","
-1.9%
","
-6.5%
","
$176,926,356
","
$1,195,002,430
"
"


","
103
","






Horizen
 
ZEN
 
ZEN



","
$104.25
","
-0.1%
","
36.4%
","
16.4%
","
$550,703,994
","
$1,192,579,273
"
"


","
104
","






TrueUSD
 
TUSD
 
TUSD



","
$1.00
","
0.1%
","
0.1%
","
-0.3%
","
$171,183,917
","
$1,184,302,940
"
"


","
105
","






Audius
 
AUDIO
 
AUDIO



","
$2.40
","
0.6%
","
18.6%
","
11.9%
","
$122,897,955
","
$1,174,784,511
"
"


","
106
","






Ravencoin
 
RVN
 
RVN



","
$0.115728
","
-1.8%
","
3.2%
","
-5.2%
","
$121,387,121
","
$1,154,745,297
"
"


","
107
","






0x
 
ZRX
 
ZRX



","
$1.37
","
2.8%
","
32.2%
","
34.3%
","
$1,043,005,043
","
$1,134,835,752
"
"


","
108
","






Bitcoin Gold
 
BTG
 
BTG



","
$64.62
","
0.8%
","
0.5%
","
-5.7%
","
$42,824,800
","
$1,123,082,796
"
"


","
109
","






Nexus Mutual
 
NXM
 
NXM



","
$161.70
","
-1.2%
","
-2.5%
","
1.6%
","
$68,225
","
$1,115,688,218
"
"


","
110
","






XDC Network
 
XDC
 
XDC



","
$0.090093419765
","
-0.8%
","
-1.4%
","
-16.2%
","
$5,718,874
","
$1,103,356,609
"
"


","
111
","






Osmosis
 
OSMO
 
OSMO



","
$5.25
","
-0.8%
","
-6.6%
","
10.9%
","
$13,405,564
","
$1,097,971,736
"
"


","
112
","






IOST
 
IOST
 
IOST



","
$0.047277854170
","
-0.2%
","
-1.3%
","
-8.4%
","
$122,980,432
","
$1,075,430,446
"
"


","
113
","






Wonderland
 
TIME
 
TIME



","
$6,629.55
","
-0.7%
","
-4.6%
","
-12.1%
","
$41,294,779
","
$1,063,999,608
"
"


","
114
","






renBTC
 
RENBTC
 
RENBTC



","
$60,712
","
-0.5%
","
-2.9%
","
-1.3%
","
$3,775,408
","
$1,033,634,200
"
"


","
115
","






Dogelon Mars
 
ELON
 
ELON



","
$0.000001858501
","
-5.8%
","
-5.0%
","
256.3%
","
$561,528,465
","
$1,013,957,009
"
"


","
116
","






Siacoin
 
SC
 
SC



","
$0.021122847850
","
3.1%
","
15.6%
","
11.8%
","
$191,412,550
","
$997,447,278
"
"


","
117
","






Telcoin
 
TEL
 
TEL



","
$0.017588918355
","
0.5%
","
-3.7%
","
-9.9%
","
$16,762,694
","
$997,436,414
"
"


","
118
","






REN
 
REN
 
REN



","
$0.997970
","
-1.0%
","
-1.7%
","
-9.7%
","
$54,944,640
","
$997,069,849
"
"


","
119
","






Bancor Network Token
 
BNT
 
BNT



","
$4.14
","
-0.9%
","
-2.8%
","
-2.3%
","
$114,224,536
","
$984,491,163
"
"


","
120
","






GateToken
 
GT
 
GT



","
$6.12
","
0.1%
","
-1.4%
","
16.1%
","
$7,667,582
","
$978,374,435
"
"


","
121
","






Pax Dollar
 
USDP
 
USDP



","
$1.00
","
0.1%
","
0.3%
","
-0.2%
","
$6,195,363
","
$958,899,507
"
"


","
122
","






Serum
 
SRM
 
SRM



","
$7.12
","
0.4%
","
-2.9%
","
-9.1%
","
$183,835,653
","
$936,575,969
"
"


","
123
","






Convex Finance
 
CVX
 
CVX



","
$27.62
","
-1.7%
","
-8.9%
","
38.6%
","
$14,668,057
","
$927,356,975
"
"


","
124
","






Perpetual Protocol
 
PERP
 
PERP



","
$16.58
","
-0.5%
","
-0.3%
","
1.7%
","
$27,610,984
","
$920,156,517
"
"


","
125
","






Kadena
 
KDA
 
KDA



","
$5.92
","
1.1%
","
-9.7%
","
13.6%
","
$17,315,204
","
$906,148,670
"
"


","
126
","






Ontology
 
ONT
 
ONT



","
$1.03
","
0.2%
","
12.2%
","
7.2%
","
$273,896,079
","
$902,666,458
"
"


","
127
","






LINK
 
LN
 
LN

 

","
$147.79
","
-0.5%
","
-2.6%
","
24.4%
","
$2,598,947
","
$873,162,573
"
"


","
128
","






xSUSHI
 
XSUSHI
 
XSUSHI



","
$12.98
","
-1.0%
","
-3.1%
","
0.5%
","
$1,045,958
","
$872,251,823
"
"


","
129
","






dYdX
 
DYDX
 
DYDX



","
$15.12
","
-0.1%
","
-4.9%
","
-22.4%
","
$191,169,428
","
$856,919,899
"
"


","
130
","






Rally
 
RLY
 
RLY



","
$0.657569
","
-1.6%
","
22.1%
","
8.1%
","
$98,867,984
","
$854,549,030
"
"


","
131
","






Nano
 
NANO
 
NANO



","
$6.16
","
-2.9%
","
-7.3%
","
12.1%
","
$135,016,254
","
$824,194,995
"
"


","
 132
","






YooShi
 
YOOSHI
 
YOOSHI



","
$0.000002213316
","
-4.4%
","
-29.5%
","
503.5%
","
$22,482,935
","
$813,158,603
"
"


","
133
","






Decentralized Social
 
DESO
 
DESO



","
$75.62
","
-0.7%
","
-17.1%
","
-11.5%
","
$1,140,642
","
$797,391,558
"
"


","
134
","






1inch
 
1INCH
 
1INCH



","
$4.41
","
-0.6%
","
-9.6%
","
10.0%
","
$178,976,568
","
$792,053,414
"
"


","
135
","






SKALE
 
SKL
 
SKL



","
$0.365426
","
2.5%
","
12.8%
","
8.9%
","
$129,711,970
","
$767,233,045
"
"


","
136
","






Moonriver
 
MOVR
 
MOVR



","
$347.10
","
-8.2%
","
-9.5%
","
-17.8%
","
$20,220,520
","
$767,139,324
"
"


","
137
","






cUSDT
 
CUSDT
 
CUSDT



","
$0.021608915839
","
0.2%
","
0.2%
","
0.1%
","
$9,930,609
","
$766,987,880
"
"


","
138
","






DigiByte
 
DGB
 
DGB



","
$0.051583580297
","
-1.3%
","
8.3%
","
-0.0%
","
$73,149,212
","
$762,828,860
"
