,"
#
","
Coin
","
Price
","
1h
","
24h
","
7d
","
24h Volume
","
Mkt Cap
"
"


","
301
","






MaidSafeCoin
 
MAID
 
MAID



","
$0.553072
","
0.5%
","
-2.3%
","
0.0%
","
$1,746,458
","
$250,746,309
"
"


","
303
","






Proton
 
XPR
 
XPR



","
$0.029524956377
","
1.3%
","
-5.9%
","
-2.0%
","
$17,020,516
","
$247,358,428
"
"


","
304
","






Dawn Protocol
 
DAWN
 
DAWN



","
$3.45
","
0.0%
","
-0.4%
","
-5.9%
","
$16,322,031
","
$246,657,456
"
"


","
302
","






Syscoin
 
SYS
 
SYS



","
$0.407686
","
-0.4%
","
4.2%
","
26.5%
","
$18,307,357
","
$246,449,903
"
"


","
305
","






ETH 2x Flexible Leverage Index
 
ETH2X-FLI
 
ETH2X-FLI



","
$264.45
","
-0.3%
","
-0.2%
","
19.0%
","
$4,842,179
","
$243,910,829
"
"


","
306
","






Ankr Reward-Bearing Staked ETH
 
AETHC
 
AETHC



","
$4,597.78
","
-0.8%
","
0.0%
","
19.6%
","
$114,364
","
$241,295,145
"
"


","
307
","






Steem
 
STEEM
 
STEEM



","
$0.613042
","
-1.2%
","
-1.0%
","
1.0%
","
$3,443,153
","
$240,811,110
"
"


","
308
","






Wrapped Centrifuge
 
WCFG
 
WCFG



","
$1.95
","
0.1%
","
1.7%
","
4.6%
","
$2,018,776
","
$238,264,394
"
"


","
309
","






Bifrost
 
BFC
 
BFC



","
$0.240874
","
-0.2%
","
-2.4%
","
-0.0%
","
$10,781,760
","
$237,855,322
"
"


","
310
","






SuperRare
 
RARE
 
RARE



","
$1.64
","
0.3%
","
-4.4%
","
-13.4%
","
$15,023,911
","
$234,776,385
"
"


","
315
","






Thorstarter
 
XRUNE
 
XRUNE



","
$0.380437
","
0.7%
","
12.5%
","
-22.2%
","
$5,159,158
","
$232,156,207
"
"


","
312
","






Storj
 
STORJ
 
STORJ



","
$1.62
","
-0.1%
","
-0.1%
","
-13.7%
","
$44,475,948
","
$231,931,435
"
"


","
313
","






Merit Circle
 
MC
 
MC



","
$5.49
","
3.3%
","
-18.5%
","
","
$38,171,561
","
$231,862,930
"
"


","
314
","






Lido DAO
 
LDO
 
LDO



","
$3.87
","
0.9%
","
-4.6%
","
22.2%
","
$19,427,704
","
$231,472,489
"
"


","
317
","






RSK Infrastructure Framework
 
RIF
 
RIF



","
$0.290995
","
-0.0%
","
2.5%
","
10.0%
","
$2,447,276
","
$231,300,461
"
"


","
316
","






Klever
 
KLV
 
KLV



","
$0.042049493775
","
0.1%
","
0.9%
","
16.6%
","
$1,832,755
","
$231,058,122
"
"


","
311
","






DAO Maker
 
DAO
 
DAO



","
$3.41
","
0.2%
","
15.8%
","
29.8%
","
$14,739,105
","
$230,487,037
"
